equip_type_name;count
Court de tennis;4579
Boucle de randonnée;3791
Terrain de football;3752
Terrain de pétanque;2392
Multisports/City-stades;2381
Salle multisports (gymnase);1816
Salles polyvalentes / des fêtes / non spécialisées;1706
Terrain de basket-ball;914
Carrière;889
Salle de musculation/cardiotraining;715
Dojo / Salle d'arts martiaux;618
Terrain de rugby;583
Piste d'athlétisme isolée;518
Point d'embarquement et de débarquement isolé;496
Manège;438
Salle de cours collectifs;412
Fronton place libre;388
Terrain mixte;386
Skatepark;369
Parcours sportif/santé;368
Terrain de boules;351
Terrain de handball;342
Salle de danse;323
Bassin ludique de natation;300
Site d'activités aquatiques et nautiques;297
Mur ou fronton mixte;288
Bassin sportif de natation;286
Site de spéléologie sportive et/ou éducative;252
Site de pêche;252
Espace de pratique spéléologique;242
Baignade aménagée;238
Salle de gymnastique sportive;225
Aire de saut;215
Stade d’athlétisme;212
Structure Artificielle d'Escalade;211
Pas de tir à la cible;193
Salle ou terrain de squash;177
Terrain de volley-ball;174
Carrière de dressage/rond de longe;169
Salle de tennis de table;162
Terrain de beach-volley;160
Pas de tir à l'arc;158
Mur de tennis;157
Trinquet;128
Circuit de motocross;126
Site d'escalade en falaise;125
Bassin mixte de natation;112
Mur à gauche;110
Parcours fixe de course d’orientation;106
Pas de tir aux plateaux;98
Piste de bicross;93
Dispositif de franchissement;91
Parcours Acrobatique en Hauteur/Site d'accrobranche;89
Piste d’aérodrome / d'aéroport;87
Parcours de cross;83
Practice;81
Arènes;76
Canyon;72
Salle de boxe;70
Aire de lancer;67
Terrain de quilles;65
Aire de fitness/street workout;61
Piste de padel;58
Salle d'haltérophilie;55
Salle de billard;54
Port de plaisance;54
Parcours 18 trous;53
Structure de tourisme équestre;53
Parcours de chasse / en campagne;49
Piste de course sur le plat;49
Site d'aéromodélisme;47
Parcours 9 trous;47
Salle ou terrain de paintball;45
Parcours d'initiation;45
Stade d’eau vive;40
Piste de kart;39
Salle d'escrime;38
Piste ULM;38
Pumptrack;36
Parcours d'obstacles;33
Circuit de vitesse;33
Bassin d'exercices aquatiques;32
Aire mixte (décollage et atterissage);30
Terrain de soccer;27
Courses sur piste;25
Terrain de baseball /softball;25
Salle ou terrain de badminton;24
Site de plongée;22
Bassin de réception de toboggan;21
Salle de basket;21
Bowling;20
Aire de décollage;19
Stade de ski nautique;19
Site de modélisme automobile;17
Salle de lutte;16
Vélodrome;15
Anneau de Roller;15
Salle ou terrain de jorkyball;13
Stade d’aviron;12
Aire d'atterrissage;12
Fosse à plongeon;12
Salle de blocs artificiels d'escalade;11
Salle de culturisme;11
Autres équipements divers;11
Terrain de basket-ball 3x3;11
Piste de descente;11
Hippodrome;11
Anneau / piste de cyclisme;11
Terrain de boules traditionnelles;9
Téléski nautique;9
Relais rando-vélo;8
Stade mixte;8
Circuit de motonautisme;8
Terrain de trial;8
Espace de vélo-freestyle;8
Terrain de kayak polo;7
Stade VTT de proximité;7
Swingolf;7
Site de blocs d'escalade;7
Aire de sports de glace sportive;7
Jaï-Laï;7
Terrain de foot 5x5;6
Salle de patinage sur roulette;5
Salle de trampoline;5
Site de char à voile;5
Salle de spectacle / Zenith;5
Refuge de montagne;5
Espace trial;5
Equipement pour saut à l’élastique;5
Piste d'athlétisme 2 à 4 couloirs;5
Tank à ramer;5
Salle d'échecs;5
Terrain de hockey sur gazon;5
Terrain de cyclocross;5
Site d'aérostation;4
Terrain de cricket;4
Domaine nordique;4
Stade de canoë-kayak de vitesse;4
Salle de beach-volley;3
Via ferrata / Via corda;3
But/Panier isolé de sport collectif;3
Zone de mouillage;3
Domaine de ski alpin;3
Salle de volley-ball;3
Site de voile radio commandée;2
Salle de handball;2
Site de glisse aérotractée;2
Piste de pulka / traineau à chiens;2
Salle de raquetball;2
Terrain de beach-hand;2
Terrain de street hockey;2
Fosse à plongée;2
Simulateur de chute libre;1
Terrain de balle au tambourin;1
Aire de sports de glace ludique;1
Terrain de horse-ball;1
Terrain de rugby à XIII;1
Terrain de futsal extérieur;1
Terrain de football américain;1
Autres terrains de pratique de tennis;1
Terrain de beach soccer;1
Terrain de moto-ball;1
Urban Freestyle Park;1
Blocs artificiels d'escalade;1
Site de modèle réduit (motonautisme);1
