equip_type_name;count
Boucle de randonnée;5749
Court de tennis;5250
Terrain de football;4108
Multisports/City-stades;2732
Salle multisports (gymnase);2178
Terrain de boules;2174
Salles polyvalentes / des fêtes / non spécialisées;1800
Terrain de pétanque;1418
Site d'escalade en falaise;1018
Terrain de basket-ball;970
Carrière;855
Salle de musculation/cardiotraining;791
Espace de pratique spéléologique;780
Dojo / Salle d'arts martiaux;725
Skatepark;486
Manège;472
Structure Artificielle d'Escalade;460
Salle de danse;451
Piste d'athlétisme isolée;441
Salle de cours collectifs;410
Terrain de rugby;381
Salle de gymnastique sportive;368
Terrain de handball;342
Bassin ludique de natation;325
Terrain mixte;304
Point d'embarquement et de débarquement isolé;296
Bassin sportif de natation;293
Stade d’athlétisme;276
Canyon;274
Aire de décollage;272
Parcours sportif/santé;256
Refuge de montagne;250
Site de spéléologie sportive et/ou éducative;242
Pas de tir à la cible;235
Salle ou terrain de squash;209
Site d'activités aquatiques et nautiques;202
Domaine de ski alpin;197
Bassin mixte de natation;194
Pas de tir à l'arc;194
Aire d'atterrissage;180
Aire de saut;180
Baignade aménagée;179
Mur de tennis;177
Salle de tennis de table;177
Terrain de volley-ball;165
Cascade de glace;158
Site de pêche;149
Carrière de dressage/rond de longe;146
Domaine nordique;132
Parcours de cross;130
Parcours fixe de course d’orientation;128
Terrain de beach-volley;122
Parcours Acrobatique en Hauteur/Site d'accrobranche;114
Salle de boxe;101
Piste de bicross;94
Via ferrata / Via corda;78
Piste de padel;74
Circuit de motocross;68
Practice;67
Piste de descente;66
Terrain de soccer;63
Piste d’aérodrome / d'aéroport;60
Aire de fitness/street workout;60
Port de plaisance;58
Salle d'escrime;56
Pumptrack;56
Salle ou terrain de badminton;55
Parcours 18 trous;48
Piste de kart;48
Salle de billard;47
Bowling;46
Aire de lancer;44
Parcours d'obstacles;44
Aire mixte (décollage et atterissage);44
Salle de basket;44
Pas de tir aux plateaux;41
Site de plongée;41
Salle de culturisme;40
Parcours 9 trous;39
Piste de course sur le plat;37
Bassin d'exercices aquatiques;36
Salle de lutte;35
Site d'aéromodélisme;35
Aire de sports de glace sportive;32
Salle d'haltérophilie;31
Anneau / piste de cyclisme;30
Site de modélisme automobile;30
Parcours d'initiation;28
Site de blocs d'escalade;28
Salle ou terrain de jorkyball;27
Structure de tourisme équestre;26
Circuit de vitesse;25
Salle ou terrain de paintball;23
Terrain de baseball /softball;22
Piste ULM;21
Stade mixte;20
Bassin de réception de toboggan;19
Espace de vélo-freestyle;18
Terrain de basket-ball 3x3;18
Anneau de Roller;17
Piste de luge;17
Tremplin à ski;17
Stade d’eau vive;16
Aire de sports de glace ludique;16
Espace trial;16
Courses sur piste;15
Stade d’aviron;15
Stade de ski nautique;14
Piste de pulka / traineau à chiens;13
Salle de blocs artificiels d'escalade;12
Piste d'athlétisme 2 à 4 couloirs;12
Mur ou fronton mixte;11
Parcours de chasse / en campagne;10
Salle d'échecs;10
Terrain de cyclocross;9
Dispositif de franchissement;8
Terrain de foot 5x5;8
Terrain de trial;6
Fosse à plongée;6
Salle de patinage sur roulette;6
Fosse à plongeon;6
But/Panier isolé de sport collectif;5
Equipement pour saut à l’élastique;5
Stade VTT de proximité;5
Tank à ramer;5
Salle de handball;5
Parkour/blocpark;4
Terrain de boules traditionnelles;4
Swingolf;4
Stade de canoë-kayak de vitesse;4
Vélodrome;4
Salle de spectacle / Zenith;4
Salle de volley-ball;3
Salle de trampoline;3
Salle de curling;2
Blocs artificiels d'escalade;2
Site de voile radio commandée;2
Circuit de motonautisme;2
Piste de bobsleigh;2
Autres terrains de pratique de tennis;2
Salle de raquetball;2
Terrain de quilles;2
Terrain de polo;2
Site d'aérostation;2
Terrain de moto-ball;2
Téléski nautique;2
Terrain de hockey sur gazon;2
Fronton place libre;1
Relais rando-vélo;1
Site de modèle réduit (motonautisme);1
Site de glisse aérotractée;1
Terrain de beach soccer;1
Terrain de beach-hand;1
Terrain de football américain;1
Terrain de rugby à XIII;1
