equip_type_name;count
Terrain de football;4512
Court de tennis;3521
Boucle de randonnée;2600
Multisports/City-stades;2568
Terrain de pétanque;2281
Salles polyvalentes / des fêtes / non spécialisées;2154
Salle multisports (gymnase);1909
Terrain de basket-ball;889
Salle de musculation/cardiotraining;702
Dojo / Salle d'arts martiaux;585
Carrière;537
Pas de tir à la cible;535
Manège;428
Site de pêche;390
Piste d'athlétisme isolée;381
Terrain de boules;379
Parcours sportif/santé;340
Terrain de handball;333
Salle de danse;303
Skatepark;299
Salle de gymnastique sportive;263
Structure Artificielle d'Escalade;243
Pas de tir à l'arc;230
Stade d’athlétisme;220
Terrain de quilles;217
Aire de saut;210
Salle de cours collectifs;196
Salle de tennis de table;183
Mur de tennis;178
Bassin ludique de natation;168
Terrain mixte;168
Terrain de volley-ball;146
Bassin sportif de natation;138
Aire de fitness/street workout;136
Point d'embarquement et de débarquement isolé;128
Site d'escalade en falaise;126
Espace de pratique spéléologique;121
Site d'activités aquatiques et nautiques;119
Salle de billard;119
Carrière de dressage/rond de longe;109
Site de spéléologie sportive et/ou éducative;108
Aire de lancer;107
Terrain de beach-volley;107
Bassin mixte de natation;104
Circuit de motocross;91
Salle ou terrain de squash;88
Terrain de rugby;87
Aire de décollage;87
Piste de bicross;77
Aire d'atterrissage;73
Baignade aménagée;70
Salle de boxe;67
Port de plaisance;66
Refuge de montagne;62
Site d'aéromodélisme;61
Pumptrack;58
Pas de tir aux plateaux;57
Parcours de cross;55
Salle d'haltérophilie;51
Salle ou terrain de badminton;51
Parcours fixe de course d’orientation;50
Piste d’aérodrome / d'aéroport;48
Practice;44
Salle d'escrime;38
Relais rando-vélo;38
Salle ou terrain de paintball;37
Structure de tourisme équestre;36
Dispositif de franchissement;36
Piste de padel;36
Parcours Acrobatique en Hauteur/Site d'accrobranche;35
Parcours 18 trous;35
Salle de basket;35
Salle de culturisme;34
Domaine de ski alpin;33
Aire mixte (décollage et atterissage);33
Terrain de foot 5x5;30
Piste de kart;29
Piste ULM;29
Bassin de réception de toboggan;29
Terrain de basket-ball 3x3;28
Parcours d'obstacles;28
Bowling;28
Circuit de vitesse;27
Bassin d'exercices aquatiques;26
Parcours d'initiation;25
Terrain de soccer;21
Stade d’eau vive;20
Site de modélisme automobile;20
Courses sur piste;20
Stade d’aviron;20
Piste de course sur le plat;18
Salle de lutte;16
Salle d'échecs;15
Piste d'athlétisme 2 à 4 couloirs;15
Parcours 9 trous;15
Aire de sports de glace sportive;14
Domaine nordique;14
Stade de canoë-kayak de vitesse;14
Espace trial;13
Salle ou terrain de jorkyball;13
Salle de spectacle / Zenith;12
Stade de ski nautique;12
Stade mixte;10
Espace de vélo-freestyle;10
Terrain de baseball /softball;10
Piste de descente;10
Terrain de trial;9
Anneau de Roller;9
Salle de blocs artificiels d'escalade;9
Blocs artificiels d'escalade;9
Site de blocs d'escalade;8
Site d'aérostation;8
Mur ou fronton mixte;8
Anneau / piste de cyclisme;8
Terrain de cyclocross;7
Site de plongée;7
Fosse à plongeon;7
Circuit de motonautisme;7
Salle de handball;6
Parcours de chasse / en campagne;5
Canyon;5
Tremplin à ski;5
Terrain de boules traditionnelles;5
Equipement pour saut à l’élastique;4
Stade VTT de proximité;4
Site de glisse aérotractée;4
Salle de trampoline;4
Vélodrome;4
Site de voile radio commandée;3
Salle de volley-ball;3
Tank à ramer;3
Site de modèle réduit (motonautisme);3
Fosse à plongée;3
Autres terrains de pratique de tennis;2
Aire de sports de glace ludique;2
Via ferrata / Via corda;2
Parc Mobil'Ludique;2
Terrain de moto-ball;2
Piste de luge;2
Terrain de horse-ball;1
Terrain de kayak polo;1
Terrain de rugby à XIII;1
Parkour/blocpark;1
Terrain de baseball 5;1
Autres équipements divers;1
Salle de beach-volley;1
Cascade de glace;1
Zone de mouillage;1
Piste de ski indoor;1
Terrain de football américain;1
Swingolf;1
Terrain de hockey sur gazon;1
