equip_type_name;count
Boucle de randonnée;5102
Court de tennis;4457
Terrain de football;2973
Terrain de pétanque;2628
Multisports/City-stades;2384
Salles polyvalentes / des fêtes / non spécialisées;1783
Salle multisports (gymnase);1418
Espace de pratique spéléologique;1165
Salle de musculation/cardiotraining;948
Site de spéléologie sportive et/ou éducative;932
Carrière;827
Terrain de basket-ball;820
Site d'escalade en falaise;650
Dojo / Salle d'arts martiaux;645
Salle de cours collectifs;641
Terrain de rugby;550
Terrain mixte;546
Terrain de boules;472
Skatepark;406
Piste d'athlétisme isolée;404
Bassin ludique de natation;398
Salle de danse;393
Point d'embarquement et de débarquement isolé;367
Manège;366
Structure Artificielle d'Escalade;326
Terrain de handball;317
Mur de tennis;305
Parcours sportif/santé;299
Carrière de dressage/rond de longe;282
Bassin sportif de natation;259
Canyon;250
Dispositif de franchissement;239
Aire de fitness/street workout;229
Site de pêche;225
Aire de saut;220
Salle de gymnastique sportive;218
Site d'activités aquatiques et nautiques;193
Stade d’athlétisme;185
Pas de tir à la cible;181
Salle ou terrain de squash;180
Baignade aménagée;174
Parcours fixe de course d’orientation;161
Terrain de beach-volley;145
Refuge de montagne;139
Aire de décollage;138
Pas de tir à l'arc;135
Terrain de volley-ball;135
Parcours de cross;122
Piste de padel;113
Parcours Acrobatique en Hauteur/Site d'accrobranche;111
Aire d'atterrissage;110
Terrain de quilles;107
Pas de tir aux plateaux;102
Piste de bicross;99
Arènes;98
Parcours d'obstacles;85
Salle de tennis de table;85
Terrain de soccer;83
Bassin mixte de natation;83
Site de plongée;76
Circuit de motocross;74
Salle de boxe;73
Salle ou terrain de paintball;70
Practice;68
Piste d’aérodrome / d'aéroport;64
Aire de lancer;57
Bassin d'exercices aquatiques;54
Domaine de ski alpin;51
Piste ULM;48
Port de plaisance;47
Site d'aéromodélisme;46
Salle de billard;45
Salle de blocs artificiels d'escalade;39
Salle ou terrain de badminton;37
Parcours 18 trous;36
Aire mixte (décollage et atterissage);36
Via ferrata / Via corda;36
Piste de course sur le plat;35
Piste de kart;34
Fronton place libre;34
Terrain de balle au tambourin;34
Stade d’eau vive;33
Salle de culturisme;31
Parcours d'initiation;30
Salle d'escrime;30
Mur ou fronton mixte;29
Anneau / piste de cyclisme;28
Structure de tourisme équestre;28
Circuit de vitesse;28
Salle d'haltérophilie;27
Salle de basket;26
Terrain de rugby à XIII;26
Bowling;25
Site de blocs d'escalade;25
Parcours 9 trous;25
Site de modélisme automobile;24
Pumptrack;21
Parcours de chasse / en campagne;21
Domaine nordique;21
Bassin de réception de toboggan;21
Stade d’aviron;20
Espace de vélo-freestyle;19
Espace trial;17
Salle d'échecs;16
Courses sur piste;16
Terrain de trial;16
Anneau de Roller;15
Salle de lutte;14
Relais rando-vélo;12
Terrain de baseball /softball;12
Stade de ski nautique;10
Equipement pour saut à l’élastique;10
Terrain de cyclocross;10
Terrain de basket-ball 3x3;10
Mur à gauche;10
Terrain de boules traditionnelles;9
Site de glisse aérotractée;9
Piste de descente;9
Terrain de foot 5x5;9
Téléski nautique;8
Aire de sports de glace sportive;8
Piste d'athlétisme 2 à 4 couloirs;7
Salle de volley-ball;7
Piste de luge;7
Aire de sports de glace ludique;6
Swingolf;6
Terrain de horse-ball;6
Salle ou terrain de jorkyball;6
Salle de handball;5
Circuit de motonautisme;5
Stade mixte;4
Salle de trampoline;4
Blocs artificiels d'escalade;4
Salle de patinage sur roulette;4
Trinquet;4
Vélodrome;4
Salle de spectacle / Zenith;4
Fosse à plongée;4
Parkour/blocpark;4
Piste de pulka / traineau à chiens;4
Fosse à plongeon;3
Terrain de futsal extérieur;3
Terrain de polo;3
Site de modèle réduit (motonautisme);3
Site d'aérostation;3
Salle de beach-volley;3
Terrain de football américain;2
Stade VTT de proximité;2
Terrain de cricket;2
Autres équipements divers;2
Stade de canoë-kayak de vitesse;2
Terrain de kayak polo;2
Tank à ramer;1
Site de voile radio commandée;1
Terrain de street hockey;1
Terrain de handball 4x4;1
Autres terrains de pratique de tennis;1
Site de char à voile;1
Zone de mouillage;1
Simulateur de chute libre;1
Urban Freestyle Park;1
But/Panier isolé de sport collectif;1
Terrain de hockey sur gazon;1
Terrain de baseball 5;1
