Code_commune;Nom_Commune;Niveau_de_vie_Commune;Niveau_de_vie_Département;Code_Departement;population_2017;Total_licenciés
93014;Clichy-sous-Bois;12 867;17 192;93;29348;2935
91286;Grigny;12 934;23 142;91;28737;6056
93027;La Courneuve;13 301;17 192;93;43054;4074
93001;Aubervilliers;13 354;17 192;93;86375;8117
95268;Garges-lès-Gonesse;13 434;21 296;95;42728;3692
93008;Bobigny;14 113;17 192;93;53640;5696
95680;Villiers-le-Bel;14 213;21 296;95;27676;3484
93059;Pierrefitte-sur-Seine;14 383;17 192;93;30306;2774
93072;Stains;14 454;17 192;93;38720;3700
93066;Saint-Denis;14 481;17 192;93;111135;11464
95585;Sarcelles;14 643;21 296;95;58587;7326
93079;Villetaneuse;14 762;17 192;93;13646;1101
77305;Montereau-Fault-Yonne;14 986;22 056;77;20206;2484
93039;L'Île-Saint-Denis;15 146;17 192;93;7981;897
78361;Mantes-la-Jolie;15 379;26 305;78;44299;6246
94078;Villeneuve-Saint-Georges;15 397;22 314;94;33545;4895
93031;Épinay-sur-Seine;15 515;17 192;93;55084;4609
93055;Pantin;15 539;17 192;93;57482;5667
93007;Le Blanc-Mesnil;15 753;17 192;93;56783;7064
93030;Dugny;15 757;17 192;93;10732;1389
93071;Sevran;15 950;17 192;93;51016;5365
93010;Bondy;15 970;17 192;93;53353;7852
93006;Bagnolet;16 011;17 192;93;35674;5877
94074;Valenton;16 025;22 314;94;14796;1724
93053;Noisy-le-Sec;16 083;17 192;93;44136;6236
78621;Trappes;16 100;26 305;78;32584;5286
78440;Les Mureaux;16 135;26 305;78;32792;7386
92036;Gennevilliers;16 288;26 919;92;46907;6304
95280;Goussainville;16 322;21 296;95;30637;5174
95280;Goussainville;16 322;21 296;95;30637;1451
93070;Saint-Ouen;16 382;17 192;93;51108;6992
93013;Le Bourget;16 445;17 192;93;16594;1859
91228;Évry;16 500;23 142;91;67967;10915
93029;Drancy;16 581;17 192;93;71318;9501
92078;Villeneuve-la-Garenne;16 632;26 919;92;23771;3256
78644;La Verrière;16 655;26 305;78;6715;785
95277;Gonesse;16 681;21 296;95;25999;3594
93005;Aulnay-sous-Bois;16 938;17 192;93;85740;11408
93063;Romainville;16 970;17 192;93;27567;4978
91174;Corbeil-Essonnes;17 048;23 142;91;51292;8068
77379;Provins;17 071;22 056;77;11844;2172
77182;La Ferté-Gaucher;17 097;22 056;77;4860;715
91215;Épinay-sous-Sénart;17 200;23 142;91;12446;2456
78138;Chanteloup-les-Vignes;17 274;26 305;78;10374;2309
77333;Nemours;17 283;22 056;77;13081;2054
77257;Lizy-sur-Ourcq;17 340;22 056;77;3566;579
94041;Ivry-sur-Seine;17 385;22 314;94;62052;10507
94011;Bonneuil-sur-Marne;17 397;22 314;94;17950;2470
77288;Melun;17 439;22 056;77;40032;7929
95487;Persan;17 526;21 296;95;12695;3376
94054;Orly;17 547;22 314;94;23801;4119
95018;Argenteuil;17 555;21 296;95;110210;14758
77284;Meaux;17 599;22 056;77;54991;7973
77285;Le Mée-sur-Seine;17 643;22 056;77;20816;3645
93048;Montreuil;17 651;17 192;93;109897;16549
93078;Villepinte;17 790;17 192;93;36830;5928
91692;Les Ulis;17 807;23 142;91;25208;4609
94081;Vitry-sur-Seine;17 830;22 314;94;93557;15509
91223;Étampes;18 028;23 142;91;25092;4428
92007;Bagneux;18 028;26 919;92;40918;5781
77327;Nangis;18 049;22 056;77;8710;1576
92024;Clichy;18 112;26 919;92;61070;11469
93061;Le Pré-Saint-Gervais;18 148;17 192;93;17950;2243
77016;Bagneaux-sur-Loing;18 191;22 056;77;1666;235
78335;Limay;18 338;26 305;78;16820;2961
93047;Montfermeil;18 362;17 192;93;26783;3599
95127;Cergy;18 411;21 296;95;65177;10708
77051;Bray-sur-Seine;18 456;22 056;77;2243;410
77131;Coulommiers;18 480;22 056;77;14838;2636
95063;Bezons;18 504;21 296;95;29383;4183
77337;Noisiel;18 506;22 056;77;15230;2484
77152;Dammarie-les-Lys;18 507;22 056;77;21835;3482
77137;Courtacon;18 589;22 056;77;242;32
75119;Paris 19e Arrondissement;18 609;27 171;75;187015;17870
78362;Mantes-la-Ville;18 676;26 305;78;20452;3636
77008;Armentières-en-Brie;18 735;22 056;77;1242;176
94028;Créteil;18 742;22 314;94;90605;12135
77260;Longueville;18 759;22 056;77;1796;163
77458;Souppes-sur-Loing;18 772;22 056;77;5390;588
91521;Ris-Orangis;18 793;23 142;91;29225;4677
92050;Nanterre;18 866;26 919;92;95105;12400
95427;Montmagny;18 870;21 296;95;14173;2509
91235;Fleury-Mérogis;18 923;23 142;91;12673;2009
94017;Champigny-sur-Marne;18 923;22 314;94;77630;12094
95019;Arnouville;18 970;21 296;95;14227;1850
77468;Torcy;18 971;22 056;77;22568;3909
77187;Fontaine-Fourches;18 983;22 056;77;602;62
94022;Choisy-le-Roi;19 078;22 314;94;45331;7617
95572;Saint-Ouen-l'Aumône;19 084;21 296;95;23741;4066
77303;Montdauphin;19 108;22 056;77;246;16
95500;Pontoise;19 116;21 296;95;30767;5514
95541;Saint-Clair-sur-Epte;19 140;21 296;95;996;92
77385;Rebais;19 171;22 056;77;2288;400
94076;Villejuif;19 175;22 314;94;54753;8945
94004;Boissy-Saint-Léger;19 187;22 314;94;16345;2627
77183;La Ferté-sous-Jouarre;19 225;22 056;77;9619;1874
91657;Vigneux-sur-Seine;19 240;23 142;91;31574;7809
77482;Varennes-sur-Seine;19 269;22 056;77;3469;859
94002;Alfortville;19 278;22 314;94;43881;7656
94037;Gentilly;19 310;22 314;94;18605;2265
93050;Neuilly-sur-Marne;19 321;17 192;93;34993;5397
77079;Champagne-sur-Seine;19 348;22 056;77;6233;1206
77331;Nanteuil-sur-Marne;19 361;22 056;77;430;57
78123;Carrières-sous-Poissy;19 405;26 305;78;16212;3443
77519;Villiers-Saint-Georges;19 445;22 056;77;1231;400
77512;Villeneuve-sur-Bellot;19 523;22 056;77;1131;208
77301;Montceaux-lès-Provins;19 524;22 056;77;330;34
77207;Gironville;19 536;22 056;77;155;27
77134;Courchamp;19 560;22 056;77;150;43
95424;Montigny-lès-Cormeilles;19 567;21 296;95;21601;3305
78089;Bonnières-sur-Seine;19 577;26 305;78;4612;1192
77099;Château-Landon;19 640;22 056;77;2952;601
95052;Beaumont-sur-Oise;19 680;21 296;95;9576;1965
77072;Chalautre-la-Grande;19 703;22 056;77;703;70
77296;Moissy-Cramayel;19 721;22 056;77;17713;3821
93064;Rosny-sous-Bois;19 772;17 192;93;46207;6316
77258;Lognes;19 815;22 056;77;14000;2304
77057;Bussières;19 868;22 056;77;524;63
77032;Beton-Bazoches;19 896;22 056;77;906;139
77218;Grisy-sur-Seine;19 920;22 056;77;109;13
77287;Meilleray;19 939;22 056;77;501;56
93073;Tremblay-en-France;19 955;17 192;93;36180;6953
77168;Égreville;19 955;22 056;77;2150;271
91016;Angerville;19 973;23 142;91;4270;773
77321;Mousseaux-lès-Bray;19 979;22 056;77;701;113
77445;Savigny-le-Temple;19 984;22 056;77;29984;5341
77396;Rupéreux;20 005;22 056;77;101;10
77208;Gouaix;20 076;22 056;77;1479;202
75120;Paris 20e Arrondissement;20 077;27 171;75;195814;20475
78401;Meulan-en-Yvelines;20 127;26 305;78;8990;1698
77368;Poigny;20 174;22 056;77;528;78
77402;Saint-Barthélemy;20 174;22 056;77;329;54
77093;La Chapelle-Moutils;20 183;22 056;77;443;51
77424;Saint-Martin-du-Boschet;20 207;22 056;77;287;34
77531;Voulx;20 243;22 056;77;1729;174
77117;Citry;20 244;22 056;77;917;102
75118;Paris 18e Arrondissement;20 247;27 171;75;195233;18974
94077;Villeneuve-le-Roi;20 262;22 314;94;21384;3199
77231;Isles-les-Meldeuses;20 290;22 056;77;806;130
77459;Sourdun;20 291;22 056;77;1484;400
91687;Viry-Châtillon;20 346;23 142;91;31093;5139
77159;Donnemarie-Dontilly;20 407;22 056;77;2832;427
77317;Mormant;20 421;22 056;77;4834;923
77467;La Tombe;20 429;22 056;77;224;16
91021;Arpajon;20 439;23 142;91;10378;2764
93051;Noisy-le-Grand;20 446;17 192;93;68183;11038
95212;Épiais-lès-Louvres;20 447;21 296;95;107;21
95612;Le Thillay;20 452;21 296;95;4557;595
77409;Saint-Germain-Laval;20 469;22 056;77;2762;463
77289;Melz-sur-Seine;20 477;22 056;77;352;64
93046;Livry-Gargan;20 480;17 192;93;44437;7655
77514;Villeparisis;20 495;22 056;77;26322;4554
95351;Louvres;20 497;21 296;95;10337;2185
93057;Les Pavillons-sous-Bois;20 505;17 192;93;23962;3321
77511;Villeneuve-sous-Dammartin;20 521;22 056;77;641;53
77027;Beaumont-du-Gâtinais;20 528;22 056;77;1180;146
77341;Noyen-sur-Seine;20 558;22 056;77;371;47
91027;Athis-Mons;20 560;23 142;91;34347;6341
77174;Everly;20 563;22 056;77;590;75
92025;Colombes;20 564;26 919;92;85177;14945
77109;Chenoise;20 585;22 056;77;1623;411
94021;Chevilly-Larue;20 623;22 314;94;19491;4196
78029;Aubergenville;20 637;26 305;78;11817;2880
95088;Bonneuil-en-France;20 644;21 296;95;1076;146
77030;Bellot;20 708;22 056;77;774;85
77397;Saâcy-sur-Marne;20 715;22 056;77;1813;258
77228;Hondevilliers;20 721;22 056;77;254;20
77113;Chevru;20 723;22 056;77;1105;135
77015;Baby;20 734;22 056;77;95;19
77404;Sainte-Colombe;20 742;22 056;77;1822;197
77148;Crouy-sur-Ourcq;20 748;22 056;77;1914;296
77033;Bezalles;20 765;22 056;77;241;39
77398;Sablonnières;20 768;22 056;77;721;107
77240;Jouy-sur-Morin;20 770;22 056;77;2096;283
77423;Saint-Martin-des-Champs;20 781;22 056;77;650;92
77492;Verdelot;20 791;22 056;77;690;78
95116;Bruyères-sur-Oise;20 834;21 296;95;4323;788
77522;Villiers-sur-Seine;20 846;22 056;77;300;35
94003;Arcueil;20 853;22 314;94;21501;2917
77238;Jouarre;20 863;22 056;77;4337;669
94044;Limeil-Brévannes;20 885;22 314;94;27228;4181
91200;Dourdan;20 889;23 142;91;10806;2488
77167;Égligny;20 895;22 056;77;331;55
93077;Villemomble;20 913;17 192;93;29964;5710
77294;Mitry-Mory;20 923;22 056;77;19931;3586
94079;Villiers-sur-Marne;20 968;22 314;94;28456;5470
77418;Saint-Loup-de-Naud;20 969;22 056;77;882;96
77347;Les Ormes-sur-Voulzie;20 980;22 056;77;858;120
78528;Rolleboise;20 989;26 305;78;391;47
78255;Freneuse;20 995;26 305;78;4411;712
77293;Misy-sur-Yonne;20 997;22 056;77;978;149
78168;Coignières;21 006;26 305;78;4394;947
77262;Louan-Villegruis-Fontaine;21 041;22 056;77;477;70
77291;Le Mesnil-Amelot;21 055;22 056;77;1014;89
77227;Hermé;21 058;22 056;77;642;60
77462;Thieux;21 058;22 056;77;913;119
77272;Maison-Rouge;21 088;22 056;77;879;103
77444;Sancy-lès-Provins;21 136;22 056;77;321;41
77275;Les Marêts;21 141;22 056;77;149;26
95094;Bouqueval;21 145;21 296;95;306;51
95604;Survilliers;21 156;21 296;95;4171;884
91511;Pussay;21 162;23 142;91;2200;380
77026;Beauchery-Saint-Martin;21 173;22 056;77;368;54
77223;Gurcy-le-Châtel;21 174;22 056;77;573;62
93032;Gagny;21 192;17 192;93;39358;6644
77242;Jutigny;21 235;22 056;77;551;42
77120;Cocherel;21 255;22 056;77;635;98
78005;Achères;21 258;26 305;78;21017;4667
